"ABKO  NCORE 볼트론 USB 3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 360 mm,CPU쿨러: 최대 157mm,"
"ABKO  NCORE 아수라 USB3.0 풀 아크릴 윈도우,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 159mm,2열 수랭쿨러 지원"
"COX  A3 노빌레 풀아크릴윈도우 with 헤일로X4 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,380 mm,CPU쿨러: 156mm,2열 수랭쿨러 지원"
"ABKO  NCORE 사파이어 3.0 풀아크릴 & 강화유리,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 159mm,2열 수랭쿨러 지원"
"마이크로닉스  Frontier H300 화이트,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 360 mm,CPU쿨러: 최대 156mm,"
"ABKO  NCORE 커브 USB3.0 풀 아크릴 윈도우 블랙 with 헤일로,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"대양케이스  ENIX USB 3.0 풀 아크릴 윈도우 화이트,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 9개,최대 450 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"ABKO  NCORE G200 타노스 USB3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 380 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 501S RGB 무선리모트 강화유리 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원"
"마이크로닉스  팰콘 실버,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 134mm,2열 수랭쿨러 지원"
"아이구주  M1 타이푼 RING LED & 강화유리 화이트,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,"
"대양케이스  CRUZER USB 3.0 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"ABKO  NCORE 커브 USB3.0 풀 아크릴 윈도우 화이트 with 헤일로,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"COX  A5 벨로체 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"대양케이스  CARMEN USB 3.0 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 330S 강화유리 with HALO 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 385 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"COX  A3 왈츠 USB3.0 풀 아크릴 윈도우,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,365 mm,CPU쿨러: 158mm,2열 수랭쿨러 지원"
"대양케이스  NEON USB 3.0 RGB LED Strips 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"3RSYS  T1000,3RSYS,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 9개,최대 348 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"아이구주  M1 타이푼 RING LED & 강화유리,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,"
"COX  RC 170T USB3.0,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 340 mm,CPU쿨러: 최대 150mm,"
"마이크로닉스  Frontier H300 블랙,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 360 mm,CPU쿨러: 최대 156mm,"
"3RSYS  L530 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 410 mm,CPU쿨러: 최대 162mm,"
"대양케이스  LOCKON USB 3.0 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,"
"COX  A3 노빌레 풀아크릴윈도우 with 헤일로X4 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,380 mm,CPU쿨러: 156mm,2열 수랭쿨러 지원"
"대양케이스  Moonlight 화이트 Red LED,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"ABKO  NCORE 팝,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 340 mm,CPU쿨러: 최대 150mm,"
"AONE  K7 오케스트라 LED FULL RGB USB 3.0,AONE,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 365 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 701S USB3.0 강화유리 블랙,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 400 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"3RSYS  J210 해머,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 350 mm,CPU쿨러: 최대 153mm,"
"마이크로닉스  루키 USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 156mm,"
"ABKO  SUITMASTER 701S USB3.0 강화유리 화이트,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 400 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"CORSAIR  CRYSTAL SERIES 570X RGB,CORSAIR,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 370 mm,CPU쿨러: 최대 170mm,3열 수랭쿨러 지원"
