"인텔 코어i7-7세대 7700 (카비레이크)(정품),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-7세대 7500 (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.4 GHz,14nm,65 W,,인텔 HD 630"
"AMD 라이젠 5 1600 (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,헥사(6) 코어,쓰레드 12개,3.2 GHz,14nm,65 W,,"
"AMD 라이젠 7 1700 (서밋 릿지)(정품),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.0 GHz,14nm,65 W,,"
"인텔 펜티엄 G4560 (카비레이크)(정품),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.5 GHz,14nm,54 W,,인텔 HD 610"
"인텔 코어i7-7세대 7700K (카비레이크)(정품),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,4.2 GHz,14nm,91 W,,인텔 HD 630"
"인텔 코어i3-7세대 7100 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.9 GHz,14nm,51 W,,인텔 HD 630"
"AMD 라이젠 5 1500X (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,65 W,,"
"인텔 코어i5-7세대 7600 (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.5 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-7세대 7400 (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.0 GHz,14nm,65 W,,인텔 HD 630"
"인텔 셀러론 G3930 (카비레이크)(정품),인텔,인텔(셀러론),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 2개,2.9 GHz,14nm,51 W,,인텔 HD 610"
"AMD 라이젠 5 1600X (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,헥사(6) 코어,쓰레드 12개,3.6 GHz,14nm,95 W,,"
"AMD 라이젠 5 1400 (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,쿼드 코어,쓰레드 8개,3.2 GHz,14nm,65 W,,"
"AMD 라이젠 7 1800X (서밋 릿지)(멀티팩),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.6 GHz,14nm,95 W,,"
"인텔 펜티엄 G4400 (스카이레이크)(정품),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 2개,3.3 GHz,14nm,54 W,윈도우 7 가상화,인텔 HD 510"
"AMD FX 8300 (비쉐라)(멀티팩),AMD,AMD(FX),AMD(소켓AM3+),64(32) 비트,옥타(8) 코어,쓰레드 8개,3.3 GHz,32nm,95 W,윈도우 7 가상화,"
"인텔 코어i5-7세대 7600K (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.8 GHz,14nm,91 W,,인텔 HD 630"
"AMD 라이젠 7 1700X (서밋 릿지)(정품),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.4 GHz,14nm,95 W,,"
"인텔 코어i5-6세대 6600 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.3 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"인텔 펜티엄 G4600 (카비레이크)(정품),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.6 GHz,14nm,51 W,,인텔 HD 630"
"인텔 코어i5-6세대 6500 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.2 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"인텔 코어i7-6세대 6700K (스카이레이크)(정품),인텔,인텔(코어i7-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,4.0 GHz,14nm,91 W,윈도우 7 가상화,인텔 HD 530"
"인텔 코어i3-6세대 6100 (스카이레이크)(정품),인텔,인텔(코어i3-6세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.7 GHz,14nm,51 W,윈도우 7 가상화,인텔 HD 530"
"인텔 코어i7-6세대 6700 (스카이레이크)(정품),인텔,인텔(코어i7-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.4 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"AMD A8 7600 (카베리)(정품),AMD,AMD(카베리-A8),AMD(소켓FM2+),64(32) 비트,쿼드 코어,쓰레드 4개,3.1 GHz,28nm,65 W,,AMD R7 시리즈"
"인텔 코어i3-7세대 7350K (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.2 GHz,14nm,60 W,,인텔 HD 630"
"인텔 코어i5-4세대 4690 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.5 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600"
"인텔 제온 E3-1230V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.4 GHz,14nm,80 W,,"
