구분,장르,CPU,RAM,HDD,그래픽카드,CPU,RAM,HDD,그래픽카드
리그 오브 레전드,AOS,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,8GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,12GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
오버워치,FPS,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,30GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),6GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
피파온라인3,Sports,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,10GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),2GB,10GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
서든어택,FPS,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,20GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,20GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
던전앤파이터,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,18GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,18GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
스타크래프트,RTS,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,3GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,3GB,
메이플스토리,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,8GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,8GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
월드오브워크래프트,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,45GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,45GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
리니지,RPG,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,10GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),1GB,20GB,
히어로즈 오브 더 스톰,AOS,인텔 코어i5-7세대 7400 (카비레이크)(정품),3GB,20GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,20GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
디아블로3,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,25GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,25GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
블레이드&소울,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),3GB,26GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,26GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
검은사막,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,44GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),8GB,44GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
워크래프트3,RTS,인텔 펜티엄 G4560 (카비레이크)(정품),512MB,2GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,2GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
하스스톤,TCG,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,3GB,,인텔 펜티엄 G4560 (카비레이크)(정품),4GB,3GB,
사이퍼즈,AOS,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,5GB,,인텔 코어i3-7세대 7100 (카비레이크)(정품),4GB,5GB,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음
아이온,RPG,인텔 코어i3-7세대 7100 (카비레이크)(정품),2GB,30GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
파이널판타지14,RPG,인텔 코어i5-7세대 7400 (카비레이크)(정품),2GB,30GB,Colorful  지포스 GTX1050 CODEBLUE D5 2GB,인텔 코어i5-7세대 7400 (카비레이크)(정품),4GB,30GB,갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP
카트라이더,Sports,인텔 펜티엄 G4560 (카비레이크)(정품),1GB,1GB,,인텔 펜티엄 G4560 (카비레이크)(정품),2GB,2GB,
