"WD  1TB BLUE WD10EZEX (SATA3/7200/64M),WD,HDD (PC용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"Seagate  1TB Barracuda ST1000DM010 (SATA3/7200/64M),Seagate,HDD (PC용),1TB,SATA3 (6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"Toshiba  3TB DT01ACA300 (SATA3/7200/64M),Toshiba,HDD (PC용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"Seagate  4TB Barracuda ST4000DM004 (SATA3/5400/256M),Seagate,HDD (PC용),4TB,SATA3 (6Gb/s),5,400 RPM,메모리 256MB,8.9cm (3.5형)"
"Seagate  2TB Barracuda ST2000DM006 (SATA3/7200/64M),Seagate,HDD (PC용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"WD  4TB BLUE WD40EZRZ (SATA3/5400/64M),WD,HDD (PC용),4TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,8.9cm (3.5형)"
"HGST  4TB Deskstar NAS HDN726040ALE614 패키지 (SATA3/7200/128M),HGST,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Toshiba  2TB DT01ACA200 (SATA3/7200/64M),Toshiba,HDD (PC용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"Toshiba  4TB MD04ACA400 (SATA3/7200/128M),Toshiba,HDD (PC용),4TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형)"
"Toshiba  1TB DT01ACA100 (SATA3/7200/32M),Toshiba,HDD (PC용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 32MB,8.9cm (3.5형)"
"Seagate  3TB Barracuda ST3000DM008 (SATA3/7200/64M),Seagate,HDD (PC용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"WD  2TB BLUE WD20EZRZ (SATA3/5400/64M),WD,HDD (PC용),2TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,8.9cm (3.5형)"
"WD  4TB Red WD40EFRX (SATA3/64M),WD,HDD (서버용),4TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,26mm"
"WD  1TB MOBILE BLUE WD10JPVX (SATA3/5400/8M/노트북용),WD,HDD (노트북용),1TB,SATA3(6Gb/s),5,400 RPM,메모리 8MB,9.5mm"
"Seagate  2TB Barracuda ST2000LM015 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),2TB,SATA3 (6Gb/s),5,400 RPM,메모리 128MB,7mm"
"Seagate  10TB IronWolf ST10000VN0004 (SATA3/7200/256M),Seagate,HDD (서버용),10TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,26mm"
"Toshiba  4TB MC04ACA400 (SATA3/7200/128M),Toshiba,HDD (서버용),4TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"HGST  8TB Deskstar NAS HDN728080ALE604 패키지 (SATA3/7200/128M),HGST,HDD (서버용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  1TB Barracuda ST1000LM048 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),1TB,SATA3 (6Gb/s),5,400 RPM,메모리 128MB,7mm"
"Toshiba  1TB DT01ACA100 (SATA3/7200/64M),Toshiba,HDD (PC용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"HGST  8TB Deskstar NAS HDN728080ALE604 패키지 (SATA3/7200/128M/4PACK),HGST,HDD (서버용),8TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"WD  3TB BLUE WD30EZRZ (SATA3/5400/64M),WD,HDD (PC용),3TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,8.9cm (3.5형)"
"Seagate  4TB IronWolf ST4000VN008 (SATA3/5900/64M),Seagate,HDD (서버용),4TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,26mm"
"Seagate  10TB Barracuda Pro ST10000DM0004 (SATA3/7200/256M),Seagate,HDD (PC용),10TB,SATA3 (6Gb/s),7,200 RPM,메모리 256MB,8.9cm (3.5형)"
"HGST  6TB Deskstar NAS HDN726060ALE614 패키지 (SATA3/7200/128M),HGST,HDD (서버용),6TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm"
"Seagate  2TB FireCuda SSHD ST2000DX002 (SATA3/7200/64M),Seagate,HDD (PC용),2TB,SATA3 (6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형)"
"WD  6TB Red WD60EFRX (SATA3/64M),WD,HDD (서버용),6TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,26mm"
"WD  8TB Red WD80EFZX (SATA3/5400/128M),WD,HDD (서버용),8TB,SATA3(6Gb/s),5,400 RPM,메모리 128MB,26mm"
"HGST  3TB Deskstar NAS HDN724030ALE640 패키지 (SATA3/7200/64M),HGST,HDD (서버용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,26.1mm"
"Seagate  4TB Barracuda ST4000DM005 (SATA3/5900/64M),Seagate,HDD (PC용),4TB,SATA3 (6Gb/s),5,900 RPM,메모리 64MB,8.9cm (3.5형)"
