"ASRock  B250M PRO4 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.5 x 24.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"ASUS PRIME B250M-A STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 20.6cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"MSI  B250M 박격포,MSI,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,,O,O,O,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASRock  B250M PRO4 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"ASUS  B150M-A/M.2 iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B150,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"ASUS  H110M-K iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 미지원,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,"
"GIGABYTE  GA-B250M-DS3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (22.6 x 19.3cm),DDR4,4개,최대 64GB,,,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASRock  Z270 EXTREME 4 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (24.4 x 30.5cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 3개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"ASUS PRIME B250M-A iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 20.6cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"ASRock  H110M-HDV 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (23.0 x 18.2cm),DDR4,2개,최대 32GB,,,,(M.2) 미지원,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
