"마이크로닉스  Classic II 500W +12V Single Rail 85+,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,,O,O,O,,O"
"FSP  HYPER K 500W 80PLUS Standard 230V EU,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"POWEREX  REX III 500W Triple V2.3,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"마이크로닉스  Classic II 700W +12V Single Rail 85+,마이크로닉스,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,,O,O,O,,O"
"마이크로닉스  Classic II 600W +12V Single Rail 85+,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,,O,O,O,,O"
"POWEREX  REX III 600W Triple V2.3,POWEREX,ATX 파워,정격 600W,표기 600W,,120mm 팬,O,,,O,,"
"잘만  ZM500-LEII,잘만,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,"
"POWEREX  REXIII DS 700W Single rail 12V DC to DC,POWEREX,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,"
"쿨러마스터  MWE 500W 80PLUS Standard 230V EU,쿨러마스터,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,O,,O"
"SuperFlower  SF-600R12A NOVA 80PLUS,SuperFlower,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,,,O"
"EPITECH ENERGY OPTIMUS Mach III 500K v2.3,EPITECH,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"FSP  HYPER K 600W 80PLUS Standard 230V EU,FSP,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,,O,,,,O"
"SuperFlower  SF-650F14MT LEADEX SILVER,SuperFlower,ATX 파워,정격 650W,표기 650W,20핀+4핀,140mm 팬,O,,,,,O"
"SuperFlower  SF-650F14MT LEADEX SILVER (WHITE),SuperFlower,ATX 파워,정격 650W,표기 650W,20핀+4핀,140mm 팬,O,,,,,O"
"마이크로닉스  Performance II PV 700W 80Plus Bronze Surge 4K,마이크로닉스,ATX 파워,정격 700W,,20핀+4핀,120mm 팬,O,,O,O,,O"
"topower  TOP-500D 80PLUS BRONZE POP,topower,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"잘만  ZM700-LEII,잘만,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,,,"
"iGuju  ELPIS SP-600EL,iGuju,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,"
"ANDYSON  R 1200W PLATINUM,ANDYSON,ATX 파워,정격 1200W,,20핀+4핀,135mm 팬,O,,,O,,O"
"잘만  ZM400-LEII,잘만,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,O,,,,,"
