"삼성전자  750 EVO(120GB),삼성전자,내장형,2.5형(6.4cm),TLC 기반,,16 nm,삼성,최대 520MB/s,최대 540MB/s,,O,,,,,"
"삼성전자  850 EVO Series(250GB),삼성전자,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,삼성 MGX 컨트롤러,최대 520MB/s,최대 540MB/s,,,,,,,"
"마이크론 Crucial MX300 대원CTS(275GB),마이크론,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 88SS1074,최대 500MB/s,최대 530MB/s,,,,,,,"
"WD  Green SSD(240GB),WD,내장형,2.5형(6.4cm),,,,,최대 465MB/s,최대 540MB/s,,,,,,,"
"삼성전자  960 EVO M.2 2280(250GB),삼성전자,내장형,M.2 (2280),TLC(토글),3D낸드,,삼성 Polaris,최대 1,500MB/s,최대 3,200MB/s,,O,,,,,"
"WD  Green SSD(120GB),WD,내장형,2.5형(6.4cm),,,,,최대 430MB/s,최대 540MB/s,,,,,,,"
"Sandisk  SSD PLUS(120GB),Sandisk,내장형,2.5형(6.4cm),확인 요망,,,,최대 400MB/s,최대 530MB/s,,,,,,,"
"삼성전자  850 PRO(256GB),삼성전자,내장형,2.5형(6.4cm),MLC(토글),3D낸드,,삼성 3-CORE MEX,최대 520MB/s,최대 550MB/s,,O,,,,,"
"마이크론 Crucial MX300 대원CTS(525GB),마이크론,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,"
"삼성전자  960 PRO M.2 2280(512GB),삼성전자,내장형,M.2 (2280),MLC(토글),3D낸드,,삼성 Polaris,최대 2,100MB/s,최대 3,500MB/s,,O,,,,,"
"Sandisk  SSD PLUS(240GB),Sandisk,내장형,2.5형(6.4cm),확인 요망,,,,최대 440MB/s,최대 530MB/s,,,,,,,"
"마이크론 Crucial MX300 아스크텍(275GB),마이크론,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,마벨 88SS1074,최대 500MB/s,최대 530MB/s,,,,,,,"
"타무즈  RX460(120GB),타무즈,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88NV1120,최대 400MB/s,최대 530MB/s,,,,,,,"
"WD  Blue SSD(250GB),WD,내장형,2.5형(6.4cm),,,,,최대 500MB/s,최대 540MB/s,,,,,,,"
"ADATA  Ultimate SU800(256GB),ADATA,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,실리콘모션 SM2258,최대 520MB/s,최대 560MB/s,,,,,,,"
"PALIT  UVS-SSD(120GB),PALIT,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,파이슨 S3111-S11,최대 375MB/s,최대 560MB/s,,,,,,,"
"Plextor  M8PeG M.2 2280(256GB),Plextor,내장형,M.2 (2280),MLC(토글),,15 nm,마벨 88SS1093,최대 900MB/s,최대 2,000MB/s,,,,,,,"
"WD  Black M.2 2280(256GB),WD,내장형,M.2 (2280),,,,,최대 700MB/s,최대 2,050MB/s,,,,,,,"
