"이엠텍 XENON 지포스 GTX1050 STORM X Nano D5 2GB,이엠텍,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,166 mm,35 mm,최대 75W"
"SAPPHIRE  라데온 RX 560 OC D5 2GB PULSE,SAPPHIRE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,,210 mm,36 mm,최대 90W"
"MSI  지포스 GTX1050 OC D5 2GB 스톰,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,177 mm,34 mm,최대 75W"
"MSI  지포스 GTX1080 게이밍X 플러스 D5X 8GB 트윈프로져6,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,O,O,O,O,O,O,O,,히트파이프+쿨러,277 mm,42 mm,최대 180W"
"갤럭시 GALAX 지포스 GTX1050 OC D5 2GB,갤럭시,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,196 mm,39 mm,최대 75W"
"이엠텍 HV 지포스 GTX1050 OC D5 2GB,이엠텍,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,181 mm,33 mm,최대 75W"
"Colorful  지포스 GTX1050 CODEBLUE D5 2GB,Colorful,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,214 mm,40 mm,최대 75W"
"ZOTAC  지포스 GTX1050 MINi D5 2GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,144.78 mm,,최대 75W"
"갤럭시 GALAX 지포스 GTX1050 EXOC D5 2GB G天命,갤럭시,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,히트파이프+쿨러,245 mm,39 mm,최대 75W"
"inno3D  지포스 GTX1050 Compact D5 2GB,inno3D,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,145 mm,,최대 75W"
"GIGABYTE  지포스 GTX1050 UD2 WF-2X D5 2GB,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,191 mm,40 mm,"
"SAPPHIRE  라데온 RX 460 OC D5 2GB,SAPPHIRE,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,,,"
"ZOTAC  지포스 GT1030 D5 2GB LP,ZOTAC,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,,,,172.5 mm,,최대 30W"
"갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP,갤럭시,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),4GB,128-bit,1개,1개,,,O,,O,,,,,166 mm,34 mm,최대 75W"
"ZOTAC  지포스 GTX1080 Ti Founders Edition D5X 11GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),11GB,352-bit,1개,3개,O,,O,O,O,,,,,266.7 mm,,최대 250W"
"MSI  지포스 GTX1050 OC D5 2GB 윈드스톰,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,215 mm,38 mm,최대 75W"
"MSI  지포스 GT1030 에어로 ITX OC D5 2GB,MSI,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,O,,방열판+쿨러,147 mm,38 mm,최대 30W"
"갤럭시 GALAX 지포스 GTX1080 Hall Of Fame D5X 8GB,갤럭시,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,O,O,O,O,O,O,,,히트파이프+쿨러,317 mm,55 mm,최대 180W"
"이엠텍 XENON 지포스 GTX1050 Ti STORM X Nano D5 4GB,이엠텍,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),4GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,166 mm,35 mm,최대 75W"
"갤럭시 GALAX 지포스 GT1030 D5 2GB,갤럭시,NVIDIA,지포스 GT10xx,PCIe3.0x16,GDDR5(DDR5),2GB,64-bit,1개,,,,,,,,,,,180 mm,41 mm,최대 30W"
"ASUS ROG STRIX 지포스 GTX1080 Ti O11G GAMING D5X 11GB,ASUS,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),11GB,352-bit,2개,2개,O,O,O,O,O,,,,방열판+쿨러,298 mm,52.5 mm,"
"GIGABYTE  라데온 RX 560 Gaming D5 2GB,GIGABYTE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,히트파이프+쿨러,190 mm,37 mm,"
"갤럭시 GALAX 지포스 GT1030 강아지 EXOC D5 2GB LP,갤럭시,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,,,,,,162 mm,22 mm,최대 30W"
"MSI  지포스 GTX1050 D5 2GB LP 윈드스톰 귀요미,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,182 mm,35 mm,최대 75W"
"GIGABYTE  라데온 RX 460 UDV D5 2GB 윈드포스,GIGABYTE,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,O,O,O,,O,,,,방열판+쿨러,191 mm,37 mm,최대 75W"
"GIGABYTE  지포스 GTX750 Ti UD2 OC D5 1GB UltraHD,GIGABYTE,NVIDIA,지포스 GTX7xx,PCIe3.0x16,GDDR5(DDR5),1GB,128-bit,2개,,,O,O,,,,,,방열판+쿨러,173 mm,42 mm,"
"갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판,171 mm,38 mm,"
"이엠텍 XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB TONE+ EDITION,이엠텍,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),11GB,352-bit,1개,3개,,O,O,O,O,O,,O,,285 mm,,최대 250W"
"GIGABYTE  지포스 GT730 UD2 D3 2GB 블랙펄,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x16,GDDR3(DDR3),2GB,128-bit,1개,,,,,,,,,,방열판+쿨러,170 mm,27 mm,"
"inno3D  지포스 GT1030 D5 2GB 무소음,inno3D,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,,,방열판,167 mm,25 mm,최대 30W"
"갤럭시 GALAX 지포스 GTX1050 OC D5 2GB LP,갤럭시,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,166 mm,34 mm,최대 75W"
